epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9263,0.56742,1.59083,1.24548,0.85185,0.76667,0.94065,0.40886,1.80277,6.02839,2.92947,0.08416,0.00016,0.00016
2,26.9423,0.25641,0.42383,0.99657,1,0.9,0.96728,0.8947,0.32504,3.20519,0.64774,0.0673267,0.000326733,0.000326733
3,41.0156,0.27774,0.40659,1.01951,0.86364,0.63333,0.81048,0.50935,0.82892,7.58992,1.21603,0.0504901,0.0004901,0.0004901
4,51.0771,0.29318,0.41282,1.03223,0.18972,0.6,0.18561,0.07976,1.56513,10.6164,1.75695,0.0336501,0.000650101,0.000650101
5,61.1652,0.28849,0.40017,1.0126,0.35319,0.6,0.41207,0.12909,2.03221,6.30353,2.33883,0.0168067,0.000806736,0.000806736
6,71.4011,0.30538,0.38912,1.02845,0.43206,0.7,0.5122,0.37555,0.83291,3.67108,1.15829,0.0009505,0.0009505,0.0009505
7,81.5409,0.30635,0.39481,1.02627,0.29363,0.4,0.24715,0.1662,1.41085,3.71318,1.79239,0.0009406,0.0009406,0.0009406
8,91.7042,0.29626,0.36709,1.00294,0.57786,0.4566,0.59033,0.2612,0.78316,2.88407,1.00895,0.0009307,0.0009307,0.0009307
9,101.766,0.27104,0.3441,0.99934,0.84217,0.9,0.95654,0.81927,0.45667,1.03117,0.81782,0.0009208,0.0009208,0.0009208
10,111.626,0.24378,0.31983,0.97797,0.73605,0.83667,0.90354,0.72848,0.48944,1.47983,0.92389,0.0009109,0.0009109,0.0009109
11,121.79,0.23516,0.33942,0.97829,0.7997,1,0.97941,0.8728,0.33986,1.798,0.61723,0.000901,0.000901,0.000901
12,137.151,0.22552,0.32615,0.96429,0.60481,0.93333,0.87811,0.75077,0.40062,1.78998,0.66491,0.0008911,0.0008911,0.0008911
13,147.658,0.2222,0.29901,0.95956,0.93696,0.99112,0.98879,0.91511,0.45379,0.55268,0.79945,0.0008812,0.0008812,0.0008812
14,161.789,0.20752,0.28,0.94924,0.83578,0.9,0.94742,0.90059,0.35693,1.10382,0.68643,0.0008713,0.0008713,0.0008713
15,171.791,0.21879,0.30409,0.96817,0.97713,0.96667,0.99403,0.9377,0.3664,0.40135,0.69451,0.0008614,0.0008614,0.0008614
16,189.123,0.21452,0.28048,0.95207,0.96186,0.96667,0.99312,0.96584,0.3405,0.51813,0.6316,0.0008515,0.0008515,0.0008515
17,204.785,0.19951,0.26215,0.96127,0.99749,1,0.995,0.95469,0.31892,0.37666,0.62425,0.0008416,0.0008416,0.0008416
18,219.962,0.20878,0.27621,0.95491,0.93559,0.96844,0.99312,0.93692,0.36429,0.81794,0.74416,0.0008317,0.0008317,0.0008317
19,230.238,0.19184,0.26449,0.93765,0.8679,0.96667,0.97885,0.94893,0.27137,1.29744,0.61858,0.0008218,0.0008218,0.0008218
20,245.49,0.17502,0.26326,0.92259,0.90771,0.93333,0.97543,0.96088,0.1726,1.16113,0.4548,0.0008119,0.0008119,0.0008119
21,255.836,0.16627,0.23418,0.93332,0.99875,1,0.995,0.9858,0.24621,0.25395,0.54666,0.000802,0.000802,0.000802
22,278.55,0.17571,0.24974,0.93082,0.98265,0.96667,0.99312,0.98698,0.23558,0.36562,0.51552,0.0007921,0.0007921,0.0007921
23,294.884,0.17088,0.23725,0.94227,0.62017,0.96667,0.9767,0.9767,0.17457,1.58799,0.48457,0.0007822,0.0007822,0.0007822
24,310.113,0.17748,0.25403,0.94513,0.56376,0.73333,0.79701,0.76869,0.31695,1.82548,0.57541,0.0007723,0.0007723,0.0007723
25,320.107,0.16092,0.23528,0.94115,0.96516,1,0.99306,0.97086,0.26186,0.48356,0.59132,0.0007624,0.0007624,0.0007624
26,335.74,0.17343,0.26102,0.94582,0.96499,0.96667,0.99312,0.96977,0.2438,0.40114,0.5985,0.0007525,0.0007525,0.0007525
27,345.775,0.1679,0.22586,0.93609,0.92296,0.96667,0.9862,0.98172,0.1533,0.49549,0.45316,0.0007426,0.0007426,0.0007426
28,361.21,0.16213,0.25334,0.92629,0.90499,0.95276,0.98276,0.96823,0.26062,1.06297,0.55231,0.0007327,0.0007327,0.0007327
29,371.535,0.14367,0.20663,0.92454,0.92139,1,0.99403,0.97333,0.26799,0.94475,0.56602,0.0007228,0.0007228,0.0007228
30,386.484,0.15366,0.21821,0.93652,0.99643,1,0.995,0.995,0.20119,0.34295,0.54365,0.0007129,0.0007129,0.0007129
31,401.744,0.15063,0.23534,0.91697,0.99796,1,0.995,0.995,0.223,0.24873,0.55359,0.000703,0.000703,0.000703
32,423.85,0.15852,0.21602,0.93601,0.99777,1,0.995,0.995,0.15192,0.18017,0.4729,0.0006931,0.0006931,0.0006931
33,440.404,0.1537,0.23294,0.93489,1,0.99874,0.995,0.90178,0.31951,0.51538,0.58605,0.0006832,0.0006832,0.0006832
34,455.284,0.1447,0.22088,0.93147,0.96533,0.92835,0.98028,0.51765,0.80533,1.03431,0.91386,0.0006733,0.0006733,0.0006733
35,465.542,0.1505,0.2039,0.92436,0.99689,1,0.995,0.94856,0.24032,0.28556,0.53781,0.0006634,0.0006634,0.0006634
36,475.619,0.14584,0.19446,0.91296,0.99821,1,0.995,0.9874,0.1745,0.16867,0.49615,0.0006535,0.0006535,0.0006535
37,486.117,0.15488,0.2067,0.93489,0.99706,1,0.995,0.995,0.20815,0.29864,0.51851,0.0006436,0.0006436,0.0006436
38,501.949,0.1497,0.2063,0.91972,0.99829,1,0.995,0.99309,0.2466,0.35568,0.53783,0.0006337,0.0006337,0.0006337
