epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5381.15,0.81052,0.73971,1.1789,0.83546,0.74577,0.82546,0.62271,1.06662,0.77244,1.40861,0.0005941,0.0005941,0.0005941
43,5503.48,0.80102,0.71957,1.16476,0.85961,0.78273,0.8711,0.66577,1.08,0.76076,1.40855,0.0005842,0.0005842,0.0005842
44,5640.04,0.7966,0.74078,1.16687,0.8368,0.88829,0.88398,0.65516,1.05243,0.80595,1.38456,0.0005743,0.0005743,0.0005743
45,5761.94,0.79626,0.71566,1.17002,0.88872,0.82593,0.86588,0.63539,1.06015,0.73664,1.41535,0.0005644,0.0005644,0.0005644
46,5883.01,0.79208,0.71296,1.16483,0.83986,0.85854,0.8495,0.59927,1.08754,0.7469,1.41856,0.0005545,0.0005545,0.0005545
47,6015.97,0.78468,0.70756,1.15906,0.86356,0.83983,0.85299,0.61042,1.04755,0.74088,1.38582,0.0005446,0.0005446,0.0005446
48,6137.1,0.7549,0.67249,1.13522,0.80287,0.80067,0.83525,0.6042,1.05303,0.75316,1.37277,0.0005347,0.0005347,0.0005347
49,6258.08,0.75831,0.68546,1.14632,0.85349,0.78083,0.8693,0.62126,1.0579,0.77864,1.42224,0.0005248,0.0005248,0.0005248
50,6378.66,0.75623,0.67082,1.14472,0.82247,0.81484,0.87805,0.61654,1.08657,0.75166,1.45515,0.0005149,0.0005149,0.0005149
51,6509.56,0.76507,0.67266,1.15027,0.70751,0.83239,0.8176,0.60561,1.06302,0.77421,1.40695,0.000505,0.000505,0.000505
