epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5479,0.60006,1.55068,1.26334,0.47498,1,0.62415,0.47137,0.67152,5.29029,1.14251,0.08416,0.00016,0.00016
2,27.2024,0.2386,0.40064,0.99092,0.88889,0.8,0.84081,0.53808,0.85594,5.95054,1.43922,0.0673267,0.000326733,0.000326733
3,42.8948,0.28679,0.43347,1.02248,0.95244,0.6675,0.87799,0.53585,0.82113,3.4319,1.12606,0.0504901,0.0004901,0.0004901
4,52.8879,0.2639,0.44104,1.00733,0.42942,0.86667,0.65876,0.38551,0.74983,3.67357,1.09912,0.0336501,0.000650101,0.000650101
5,62.8019,0.25093,0.39302,0.99292,0.01898,0.86667,0.01872,0.01181,1.22783,inf,1.75084,0.0168067,0.000806736,0.000806736
6,72.4287,0.27799,0.38645,1.01746,0.37459,0.43333,0.4596,0.36121,0.86386,2.50849,1.21366,0.0009505,0.0009505,0.0009505
7,82.1111,0.26864,0.38322,0.99886,0.37175,0.63333,0.37577,0.24949,0.93074,2.81658,1.27505,0.0009406,0.0009406,0.0009406
8,92.0181,0.2773,0.36327,0.9961,0.41394,0.26667,0.19983,0.18842,1.97511,2.20539,5.51738,0.0009307,0.0009307,0.0009307
9,101.843,0.24291,0.33391,0.98564,0.80799,0.70141,0.81833,0.6311,0.85674,1.5388,1.0808,0.0009208,0.0009208,0.0009208
10,112.157,0.24237,0.33278,0.97258,0.35133,0.7,0.3406,0.16654,1.21839,4.76556,1.42256,0.0009109,0.0009109,0.0009109
11,121.906,0.24049,0.3262,0.97692,0.80051,0.76667,0.8769,0.67677,0.67133,0.81382,0.92293,0.000901,0.000901,0.000901
12,132.798,0.24132,0.31406,0.97972,0.42103,0.53333,0.54092,0.34363,0.76975,2.9289,1.12141,0.0008911,0.0008911,0.0008911
13,142.876,0.25704,0.31467,0.982,0.41817,0.76667,0.62335,0.23835,1.87682,4.21387,2.47082,0.0008812,0.0008812,0.0008812
14,152.798,0.23945,0.31485,0.97534,0.87803,0.96667,0.98643,0.89341,0.4219,0.70689,0.76609,0.0008713,0.0008713,0.0008713
15,163.022,0.24619,0.31222,0.9844,0.91536,1,0.98518,0.90561,0.36528,0.5412,0.7129,0.0008614,0.0008614,0.0008614
16,178.412,0.21513,0.29521,0.95778,0.76222,0.96179,0.86276,0.60653,0.6842,1.63618,0.94526,0.0008515,0.0008515,0.0008515
17,188.389,0.23815,0.31056,0.98155,0.80973,1,0.8989,0.82431,0.3602,0.61513,0.68409,0.0008416,0.0008416,0.0008416
18,198.555,0.21585,0.29497,0.96,0.90487,0.96667,0.97953,0.87563,0.34843,0.61154,0.66503,0.0008317,0.0008317,0.0008317
19,208.303,0.20749,0.2666,0.94394,1,0.96411,0.99403,0.91865,0.33282,0.45088,0.66941,0.0008218,0.0008218,0.0008218
20,223.476,0.20123,0.29192,0.94551,0.85309,1,0.95125,0.9361,0.2303,0.87042,0.57504,0.0008119,0.0008119,0.0008119
21,234.096,0.19176,0.29562,0.94726,0.93347,1,0.94937,0.81752,0.46229,0.76348,0.76757,0.000802,0.000802,0.000802
22,250.101,0.20724,0.29321,0.96057,0.95696,0.96667,0.98767,0.90814,0.36056,0.85862,0.7386,0.0007921,0.0007921,0.0007921
23,260.349,0.17577,0.25891,0.94814,0.98311,0.96667,0.99147,0.92272,0.46743,0.77069,0.73057,0.0007822,0.0007822,0.0007822
24,270.904,0.17805,0.27223,0.94195,0.99743,1,0.995,0.97137,0.2206,0.3591,0.5765,0.0007723,0.0007723,0.0007723
25,286.932,0.16463,0.25984,0.93924,0.91425,0.63333,0.86198,0.61142,0.69071,1.13517,0.91389,0.0007624,0.0007624,0.0007624
26,297.069,0.15807,0.25543,0.93749,0.90277,0.9,0.97534,0.90499,0.30544,0.40704,0.67588,0.0007525,0.0007525,0.0007525
27,307.678,0.1602,0.24134,0.93482,0.98731,1,0.995,0.95646,0.28644,0.44193,0.62073,0.0007426,0.0007426,0.0007426
28,317.925,0.15647,0.25288,0.92256,0.9889,0.96667,0.99403,0.88278,0.41843,0.5978,0.78155,0.0007327,0.0007327,0.0007327
29,328.043,0.15816,0.23231,0.93373,0.9824,1,0.995,0.92244,0.35808,0.56819,0.74195,0.0007228,0.0007228,0.0007228
30,338.16,0.18559,0.27372,0.95601,0.94129,0.96667,0.98493,0.85044,0.39555,0.8947,0.7546,0.0007129,0.0007129,0.0007129
31,348.113,0.14804,0.24244,0.91682,0.99308,1,0.995,0.9255,0.26735,0.65771,0.62371,0.000703,0.000703,0.000703
32,363.401,0.1652,0.23964,0.94728,0.96504,1,0.99403,0.92111,0.22303,0.43792,0.58232,0.0006931,0.0006931,0.0006931
33,373.353,0.14939,0.24894,0.93648,0.96756,1,0.97887,0.86591,0.33608,0.39081,0.71153,0.0006832,0.0006832,0.0006832
34,383.255,0.15136,0.23695,0.93927,0.93,0.96667,0.96988,0.89305,0.263,0.43417,0.64279,0.0006733,0.0006733,0.0006733
35,393.471,0.15876,0.23542,0.93174,0.96212,1,0.98016,0.86235,0.29401,0.39955,0.67883,0.0006634,0.0006634,0.0006634
36,403.705,0.14525,0.20611,0.90909,0.74117,0.93333,0.92956,0.87404,0.23832,1.47077,0.61486,0.0006535,0.0006535,0.0006535
37,413.631,0.14228,0.21376,0.93419,0.78889,0.93333,0.96275,0.90554,0.26061,1.10289,0.61079,0.0006436,0.0006436,0.0006436
38,423.523,0.14792,0.21756,0.91923,0.79715,1,0.98669,0.81938,0.2387,1.41296,0.58122,0.0006337,0.0006337,0.0006337
39,433.613,0.13626,0.20249,0.92296,0.97151,1,0.995,0.92938,0.22776,0.89551,0.59441,0.0006238,0.0006238,0.0006238
