epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7933,0.87053,1.46262,1.4049,0.51158,0.06209,0.00443,0.00108,3.51258,25.5469,5.10764,0.000551861,0.000551861,0.000551861
2,164.001,0.98891,1.22647,1.51028,0.16585,0.2451,0.1295,0.06498,2.07724,4.93519,3.37536,0.00110726,0.00110726,0.00110726
3,245.373,0.98303,1.19861,1.51244,0.18169,0.22222,0.12005,0.04346,2.35716,3.08952,3.5976,0.00166157,0.00166157,0.00166157
4,325.776,0.8901,1.11012,1.43715,0.3005,0.29412,0.27609,0.17117,1.79238,3.65194,2.85503,0.00166334,0.00166334,0.00166334
5,412.176,0.82902,1.0264,1.39009,0.39861,0.25697,0.29168,0.20515,1.51214,1.99162,2.2243,0.00166049,0.00166049,0.00166049
6,498.977,0.78583,0.96069,1.35466,0.42852,0.27124,0.32543,0.23774,1.36951,1.6181,2.06463,0.00165684,0.00165684,0.00165684
7,581.814,0.75188,0.91286,1.31891,0.34635,0.28758,0.29341,0.21624,1.27726,1.5792,2.01801,0.00165238,0.00165238,0.00165238
8,666.175,0.74124,0.88326,1.32007,0.44196,0.2986,0.35939,0.24971,1.4151,1.39324,2.14579,0.00164713,0.00164713,0.00164713
9,753.435,0.71434,0.86088,1.28884,0.38699,0.24183,0.29915,0.21935,1.37554,1.59736,2.00968,0.00164108,0.00164108,0.00164108
10,840.333,0.67765,0.80075,1.25908,0.44795,0.28128,0.33827,0.25389,1.35335,1.41677,2.1341,0.00163424,0.00163424,0.00163424
11,932.969,0.64996,0.78034,1.2414,0.45225,0.27124,0.33876,0.26181,1.21958,1.32508,1.98374,0.00162661,0.00162661,0.00162661
12,1039.6,0.62834,0.75227,1.22434,0.44487,0.28105,0.34781,0.26856,1.24396,1.437,2.0441,0.00161822,0.00161822,0.00161822
13,1138.19,0.61395,0.72454,1.22301,0.43554,0.31373,0.3666,0.28884,1.12974,1.23452,1.78497,0.00160905,0.00160905,0.00160905
14,1240.73,0.62368,0.7487,1.22499,0.43404,0.30108,0.36272,0.28093,1.18533,1.415,1.84445,0.00159913,0.00159913,0.00159913
15,1337.33,0.60262,0.7061,1.20463,0.41145,0.30719,0.35163,0.27448,1.15735,1.26672,1.82054,0.00158847,0.00158847,0.00158847
16,1428.92,0.61074,0.70321,1.21077,0.43735,0.29655,0.36022,0.27046,1.22949,1.18468,1.86331,0.00157706,0.00157706,0.00157706
17,1520.11,0.5928,0.69295,1.19783,0.42423,0.31106,0.36904,0.2881,1.06578,1.25782,1.68215,0.00156493,0.00156493,0.00156493
18,1602.73,0.5955,0.67926,1.1999,0.42414,0.29237,0.3455,0.27142,1.13266,1.3357,1.79291,0.00155209,0.00155209,0.00155209
19,1688.51,0.57536,0.66215,1.17596,0.39041,0.36275,0.36574,0.26943,1.18826,1.26309,1.90883,0.00153854,0.00153854,0.00153854
20,1774.49,0.58162,0.67121,1.18415,0.42471,0.29412,0.35818,0.28812,1.06834,1.33178,1.78538,0.00152431,0.00152431,0.00152431
21,1860.65,0.56466,0.64923,1.17016,0.44277,0.30065,0.37451,0.30562,0.97885,1.22367,1.54552,0.00150941,0.00150941,0.00150941
22,1962.6,0.55315,0.63588,1.16207,0.39679,0.33987,0.36437,0.28312,1.06525,1.25351,1.7332,0.00149384,0.00149384,0.00149384
23,2054.38,0.54002,0.62582,1.16548,0.40806,0.33361,0.3666,0.28856,1.11233,1.17838,1.77064,0.00147764,0.00147764,0.00147764
24,2139.28,0.53733,0.61894,1.15016,0.46104,0.30392,0.36451,0.29079,1.13022,1.28722,1.84251,0.0014608,0.0014608,0.0014608
25,2225.24,0.53683,0.60461,1.14906,0.45672,0.30392,0.38335,0.30325,1.06527,1.15867,1.73736,0.00144335,0.00144335,0.00144335
26,2316.3,0.53032,0.60475,1.15141,0.42861,0.35318,0.39457,0.30897,1.02716,1.16111,1.6328,0.00142531,0.00142531,0.00142531
