epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3270.25,0.68698,0.61651,1.06313,0.95084,0.87037,0.94658,0.65629,1.14515,0.64912,1.34131,0.00107205,0.00107205,0.00107205
43,3351.65,0.68029,0.5939,1.05893,0.94959,0.88889,0.94792,0.66603,1.10332,0.62964,1.30401,0.00104705,0.00104705,0.00104705
44,3434.62,0.65638,0.57003,1.04128,0.93977,0.86683,0.93564,0.63607,1.17875,0.69297,1.35288,0.00102184,0.00102184,0.00102184
45,3510.72,0.65522,0.57949,1.04795,0.92708,0.86325,0.94106,0.65867,1.10649,0.65563,1.29544,0.000996456,0.000996456,0.000996456
46,3586.85,0.6673,0.56605,1.04897,0.91255,0.87037,0.95051,0.67178,1.09908,0.63776,1.27505,0.000970919,0.000970919,0.000970919
47,3670.05,0.64431,0.56291,1.03453,0.94442,0.90741,0.95375,0.67919,1.1175,0.63262,1.28087,0.000945256,0.000945256,0.000945256
48,3752.17,0.63297,0.55784,1.02787,0.93422,0.87663,0.94481,0.67264,1.09564,0.62365,1.27382,0.00091949,0.00091949,0.00091949
49,3828.25,0.64263,0.55043,1.03812,0.95246,0.88272,0.95191,0.67711,1.10184,0.63189,1.27757,0.000893648,0.000893648,0.000893648
50,3904.29,0.61441,0.54625,1.02004,0.9227,0.89506,0.94326,0.67067,1.0876,0.63089,1.29323,0.000867754,0.000867754,0.000867754
51,3980.4,0.62832,0.52765,1.02593,0.96781,0.93827,0.96867,0.69166,1.07846,0.58378,1.26459,0.000841835,0.000841835,0.000841835
52,4062.99,0.62766,0.53151,1.03392,0.93356,0.91975,0.9582,0.67478,1.09503,0.59257,1.2636,0.000815916,0.000815916,0.000815916
53,4139.17,0.60654,0.5148,1.01995,0.93097,0.91574,0.96983,0.69524,1.065,0.57268,1.25895,0.000790022,0.000790022,0.000790022
54,4218.24,0.59877,0.51428,1.00681,0.97891,0.85964,0.95967,0.68091,1.11276,0.59863,1.29032,0.00076418,0.00076418,0.00076418
55,4294.5,0.5978,0.50406,1.0134,0.97313,0.89431,0.96104,0.69085,1.03844,0.58353,1.25501,0.000738414,0.000738414,0.000738414
56,4370.32,0.59051,0.4888,1.00641,0.89613,0.9321,0.96618,0.68994,1.07736,0.53745,1.25388,0.000712751,0.000712751,0.000712751
57,4446.08,0.58174,0.49644,1.00113,0.96803,0.93469,0.96845,0.69616,1.04987,0.551,1.27941,0.000687214,0.000687214,0.000687214
58,4527.99,0.5952,0.48982,1.01137,0.98058,0.93528,0.97274,0.69584,1.07299,0.55743,1.27345,0.000661831,0.000661831,0.000661831
59,4603.82,0.57996,0.48237,0.99773,0.9714,0.91975,0.96555,0.70627,1.04551,0.5339,1.24857,0.000636625,0.000636625,0.000636625
60,4680.94,0.57799,0.49405,0.99997,0.95948,0.91975,0.96871,0.68977,1.07649,0.52907,1.23116,0.000611621,0.000611621,0.000611621
61,4756.59,0.58063,0.4734,1.00548,0.96119,0.91725,0.95291,0.68439,1.07316,0.53618,1.24162,0.000586845,0.000586845,0.000586845
62,4832.12,0.56125,0.45038,0.98394,0.95527,0.92288,0.96847,0.71122,1.02853,0.5161,1.23445,0.00056232,0.00056232,0.00056232
63,4915.39,0.54983,0.47344,0.98849,0.98176,0.94444,0.97404,0.70242,1.06461,0.51759,1.26037,0.000538072,0.000538072,0.000538072
64,4991.57,0.56373,0.4644,0.99691,0.97158,0.93827,0.96658,0.70018,1.0596,0.51707,1.25517,0.000514122,0.000514122,0.000514122
65,5067.44,0.54033,0.43994,0.974,0.95398,0.9321,0.97436,0.71783,1.02663,0.49975,1.22173,0.000490497,0.000490497,0.000490497
66,5148.44,0.57717,0.48205,0.99808,0.95597,0.93817,0.96963,0.70506,1.05365,0.48732,1.24068,0.000467218,0.000467218,0.000467218
67,5224.81,0.52697,0.43945,0.97696,0.97389,0.92106,0.97452,0.69327,1.07649,0.50416,1.25114,0.000444309,0.000444309,0.000444309
68,5300.81,0.5288,0.43441,0.97629,0.96655,0.91975,0.97344,0.71414,1.03668,0.49009,1.23806,0.000421792,0.000421792,0.000421792
69,5376.88,0.53372,0.43011,0.98259,0.96781,0.92802,0.96411,0.71518,1.01889,0.48684,1.23415,0.000399689,0.000399689,0.000399689
70,5452.92,0.51493,0.41488,0.96897,0.97433,0.93733,0.9753,0.72327,1.00163,0.47527,1.2184,0.000378023,0.000378023,0.000378023
