epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1886,1.65628,4.5665,1.88312,0.95352,0.03125,0.0349,0.02701,2.68445,7.92616,3.20778,0.08515,0.00015,0.00015
2,22.3012,1.60155,2.59174,1.81942,0.12089,0.14431,0.06796,0.01325,2.9308,7.08423,4.09372,0.0693069,0.000306931,0.000306931
3,29.5056,1.51693,2.4346,1.77156,0.04829,0.26935,0.0299,0.01163,2.56698,40.8962,3.49079,0.0534607,0.000460694,0.000460694
4,36.9941,1.61369,2.44593,1.85738,0.07633,0.25893,0.07044,0.02845,2.30942,29.3067,2.88882,0.0376113,0.000611289,0.000611289
5,50.2956,1.54872,2.35175,1.79772,0.0095,0.28274,0.00629,0.00175,3.03714,295.206,5.69304,0.0217587,0.000758716,0.000758716
6,57.8984,1.59876,2.31119,1.86759,0.04117,0.25298,0.02453,0.0081,2.49142,38.6569,3.67742,0.00590297,0.000902975,0.000902975
7,71.1356,1.66697,2.39056,1.94836,0.11961,0.28423,0.10821,0.03407,2.49723,17.0613,3.91155,0.0009406,0.0009406,0.0009406
8,79.1428,1.64715,2.29177,1.89716,0.05673,0.23661,0.03783,0.0137,2.56414,58.8842,4.56957,0.0009307,0.0009307,0.0009307
9,86.8539,1.65911,2.37242,1.88841,0.2193,0.34673,0.19606,0.05586,2.53827,11.1083,3.85633,0.0009208,0.0009208,0.0009208
10,99.6001,1.65407,2.29551,1.93407,0.07895,0.29167,0.06233,0.01715,2.48517,25.1364,3.44872,0.0009109,0.0009109,0.0009109
11,107.26,1.58077,2.25835,1.89707,0.14095,0.26042,0.09669,0.03363,2.40676,14.412,3.28537,0.000901,0.000901,0.000901
12,127,1.57904,2.22307,1.84316,0.09788,0.31548,0.07533,0.02243,2.61144,20.9734,3.33002,0.0008911,0.0008911,0.0008911
13,139.836,1.61338,2.1836,1.87506,0.13234,0.38542,0.07056,0.02024,2.6264,13.2242,3.28571,0.0008812,0.0008812,0.0008812
14,147.627,1.57289,2.12807,1.87818,0.31515,0.33185,0.22015,0.06425,2.34209,4.09457,2.92784,0.0008713,0.0008713,0.0008713
15,161.187,1.55653,2.07892,1.81056,0.21214,0.29167,0.19893,0.07015,2.22541,5.35407,2.73445,0.0008614,0.0008614,0.0008614
16,175.618,1.54861,2.11841,1.81341,0.22141,0.26493,0.13368,0.05327,2.45827,4.57402,2.83496,0.0008515,0.0008515,0.0008515
17,189.84,1.46834,1.93128,1.76157,0.26465,0.26142,0.19446,0.0963,2.23459,4.52482,2.78383,0.0008416,0.0008416,0.0008416
18,208.402,1.44366,1.95512,1.78003,0.23631,0.30066,0.19216,0.0992,2.01882,3.3749,2.49334,0.0008317,0.0008317,0.0008317
19,260.403,1.44088,1.9951,1.74115,0.44073,0.29315,0.31395,0.155,1.9278,2.63268,2.41576,0.0008218,0.0008218,0.0008218
20,274.09,1.42358,1.90237,1.73994,0.58672,0.29315,0.38785,0.19937,1.99576,2.53473,2.38082,0.0008119,0.0008119,0.0008119
21,288.427,1.41643,1.78688,1.71349,0.47427,0.2801,0.32114,0.1839,1.92138,2.36488,2.33245,0.000802,0.000802,0.000802
22,306.548,1.40883,1.91366,1.71694,0.93339,0.2381,0.3415,0.17861,1.93334,2.58088,2.39389,0.0007921,0.0007921,0.0007921
23,315.496,1.40437,1.85149,1.68374,0.37937,0.39583,0.33973,0.17368,1.73784,2.62451,2.21802,0.0007822,0.0007822,0.0007822
24,323.183,1.37712,1.79049,1.67255,0.39626,0.50446,0.38099,0.21555,1.85526,2.2491,2.26472,0.0007723,0.0007723,0.0007723
25,337.672,1.29959,1.70742,1.62636,0.74615,0.3244,0.36306,0.19997,1.84461,2.34695,2.36957,0.0007624,0.0007624,0.0007624
26,345.176,1.3605,1.68544,1.68898,0.30675,0.26935,0.2797,0.17809,1.77662,2.69462,2.20192,0.0007525,0.0007525,0.0007525
27,356.158,1.46073,1.88518,1.7214,0.53131,0.32281,0.321,0.20242,1.86254,2.51362,2.34175,0.0007426,0.0007426,0.0007426
