epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5878,0.5866,1.52666,1.26411,0.75,1,0.80935,0.72752,0.43072,5.62068,0.84098,0.08416,0.00016,0.00016
2,50.5618,0.26187,0.41561,0.99856,0.50943,0.9,0.54315,0.46229,0.52313,10.1935,0.79465,0.0673267,0.000326733,0.000326733
3,83.8633,0.31762,0.42058,1.03855,0.90909,0.66667,0.7535,0.32706,1.13415,6.67573,1.32599,0.0504901,0.0004901,0.0004901
4,99.6594,0.29127,0.49083,1.02622,0.53571,0.5,0.57554,0.24754,1.13821,11.3356,1.45303,0.0336501,0.000650101,0.000650101
5,115.671,0.3014,0.411,1.02212,0.36144,0.4,0.36421,0.08074,3.05605,6.99534,3.46393,0.0168067,0.000806736,0.000806736
6,132.127,0.30427,0.39673,1.03297,0.03284,0.23333,0.01336,0.00385,3.73704,8.81505,5.6573,0.0009505,0.0009505,0.0009505
7,148.55,0.27782,0.35063,1.00034,0.53602,0.63333,0.516,0.14259,2.44913,3.34342,2.81334,0.0009406,0.0009406,0.0009406
8,162.49,0.26236,0.36548,0.98921,0.14478,0.43333,0.12439,0.06171,1.76511,4.14772,2.76808,0.0009307,0.0009307,0.0009307
9,179.358,0.24993,0.35352,0.98859,0.32707,0.96667,0.33074,0.26099,0.39438,2.9522,0.69361,0.0009208,0.0009208,0.0009208
10,195.544,0.25753,0.33469,0.98352,0.48997,0.93333,0.6719,0.47489,0.57362,2.81164,0.84444,0.0009109,0.0009109,0.0009109
11,210.437,0.24939,0.33597,0.97683,0.96614,0.95136,0.99306,0.89081,0.44294,0.52037,0.68404,0.000901,0.000901,0.000901
12,259.199,0.23747,0.29375,0.97252,0.37874,0.93333,0.55839,0.34458,0.60525,3.4413,0.91757,0.0008911,0.0008911,0.0008911
13,274.845,0.23884,0.29564,0.96959,0.55007,0.93333,0.64104,0.46262,0.57866,2.21302,0.8815,0.0008812,0.0008812,0.0008812
14,291.82,0.2127,0.29338,0.94816,0.80238,0.93333,0.94332,0.77413,0.43591,1.44864,0.74566,0.0008713,0.0008713,0.0008713
15,308.024,0.23973,0.32268,0.97599,0.59541,1,0.90782,0.79633,0.37206,1.56329,0.71544,0.0008614,0.0008614,0.0008614
16,324.58,0.22334,0.29806,0.96749,0.58929,0.96667,0.96659,0.8925,0.31039,1.64369,0.60333,0.0008515,0.0008515,0.0008515
17,347.152,0.20084,0.28241,0.95898,0.91709,1,0.99403,0.90288,0.35651,0.64579,0.59189,0.0008416,0.0008416,0.0008416
18,369.798,0.20401,0.30411,0.95862,0.81675,0.96667,0.9613,0.76225,0.49783,1.28844,0.77828,0.0008317,0.0008317,0.0008317
