epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6622,0.58042,1.5402,1.26142,0.2683,0.56667,0.24072,0.13668,1.18348,6.54967,1.43684,0.08416,0.00016,0.00016
2,27.553,0.25173,0.44003,0.99711,0.68293,0.93333,0.6899,0.61028,0.30931,4.18638,0.59278,0.0673267,0.000326733,0.000326733
3,43.3709,0.25431,0.41677,0.99787,0.46566,0.86667,0.69289,0.27562,1.30148,5.38551,1.86865,0.0504901,0.0004901,0.0004901
4,53.8357,0.28715,0.44167,1.0173,0.3365,0.6,0.33506,0.08695,2.67083,6.09277,2.80324,0.0336501,0.000650101,0.000650101
5,63.9239,0.30464,0.42338,1.03573,0.23594,0.73086,0.23855,0.09082,2.22325,8.99821,2.72144,0.0168067,0.000806736,0.000806736
6,73.9099,0.29685,0.39642,1.02653,0.05593,0.36667,0.0348,0.02002,1.5473,nan,2.11174,0.0009505,0.0009505,0.0009505
7,83.9441,0.25962,0.35603,0.99082,0.41704,0.36667,0.2232,0.12,1.71931,2.30374,1.73597,0.0009406,0.0009406,0.0009406
8,94.2621,0.2837,0.37392,1.00683,0.22058,0.3,0.12992,0.04931,2.58746,3.55784,2.49066,0.0009307,0.0009307,0.0009307
9,104.591,0.25923,0.33509,0.99227,0.69221,0.4,0.39111,0.2842,1.33053,1.75244,1.95646,0.0009208,0.0009208,0.0009208
10,114.98,0.25263,0.3349,0.9778,0.62233,0.83333,0.71163,0.33928,1.60947,1.29849,1.81457,0.0009109,0.0009109,0.0009109
11,125.432,0.24323,0.34432,0.98232,0.81302,0.4,0.37339,0.15881,2.08549,2.28871,2.17683,0.000901,0.000901,0.000901
12,137.367,0.24076,0.32792,0.98744,0.84737,0.93333,0.93238,0.79375,0.61735,0.7177,0.99695,0.0008911,0.0008911,0.0008911
13,154.224,0.22422,0.321,0.96441,0.89763,1,0.99079,0.83418,0.47311,0.72755,0.77579,0.0008812,0.0008812,0.0008812
14,168.628,0.21962,0.29363,0.96322,0.94074,1,0.99403,0.9154,0.33236,0.47809,0.60866,0.0008713,0.0008713,0.0008713
15,179.576,0.23267,0.31694,0.96914,0.62018,1,0.94588,0.94588,0.21352,1.89399,0.48466,0.0008614,0.0008614,0.0008614
16,195.297,0.20712,0.29322,0.95173,0.96538,1,0.99403,0.96259,0.21308,0.39984,0.47762,0.0008515,0.0008515,0.0008515
17,206.288,0.20652,0.30053,0.96736,0.96479,1,0.99403,0.99403,0.14376,0.28955,0.4501,0.0008416,0.0008416,0.0008416
18,221.832,0.2083,0.2952,0.95772,0.90791,1,0.995,0.93497,0.26594,1.29503,0.56995,0.0008317,0.0008317,0.0008317
19,232.755,0.20788,0.2675,0.95482,0.60604,0.93333,0.96673,0.92906,0.26346,1.58319,0.55085,0.0008218,0.0008218,0.0008218
20,243.411,0.21631,0.28671,0.95698,0.70761,1,0.97613,0.94509,0.24742,1.706,0.54745,0.0008119,0.0008119,0.0008119
21,253.77,0.20044,0.27661,0.96276,0.62354,0.83333,0.78877,0.70845,0.44044,1.70447,0.79162,0.000802,0.000802,0.000802
22,269.045,0.19316,0.26581,0.94358,0.73235,0.96667,0.96585,0.85927,0.39085,1.40966,0.71543,0.0007921,0.0007921,0.0007921
23,279.594,0.19052,0.25875,0.9536,1,0.99125,0.995,0.91681,0.37715,0.34378,0.69313,0.0007822,0.0007822,0.0007822
24,290.105,0.20184,0.28419,0.96581,0.96556,1,0.98758,0.9023,0.32547,0.26853,0.67716,0.0007723,0.0007723,0.0007723
25,301.146,0.18906,0.26066,0.95576,0.90563,1,0.97229,0.84704,0.38961,0.46002,0.74263,0.0007624,0.0007624,0.0007624
26,311.524,0.17754,0.25418,0.9511,0.9963,1,0.995,0.8568,0.52635,0.60187,0.76276,0.0007525,0.0007525,0.0007525
27,321.756,0.19124,0.25041,0.95345,0.99637,0.96667,0.9875,0.69788,0.94615,0.83242,1.12377,0.0007426,0.0007426,0.0007426
28,331.947,0.16905,0.25253,0.92765,0.90759,1,0.98661,0.84317,0.40099,0.77465,0.6063,0.0007327,0.0007327,0.0007327
29,342.396,0.15782,0.22975,0.93212,0.88476,0.96667,0.97952,0.9522,0.16688,0.85103,0.43122,0.0007228,0.0007228,0.0007228
30,352.648,0.15437,0.22982,0.93395,0.52106,0.9793,0.81004,0.79483,0.16803,1.91151,0.43389,0.0007129,0.0007129,0.0007129
31,362.941,0.16462,0.24437,0.92981,0.91083,1,0.99403,0.97535,0.15107,0.93545,0.44333,0.000703,0.000703,0.000703
32,377.612,0.16333,0.22732,0.94261,0.99768,1,0.995,0.98538,0.21978,0.2664,0.52484,0.0006931,0.0006931,0.0006931
33,388.243,0.15539,0.24633,0.93593,0.99717,1,0.995,0.995,0.16818,0.29204,0.48793,0.0006832,0.0006832,0.0006832
34,399.076,0.15577,0.22952,0.94429,0.99505,1,0.995,0.995,0.20612,0.40591,0.53603,0.0006733,0.0006733,0.0006733
35,414.359,0.16543,0.24654,0.93834,0.76153,1,0.99403,0.95111,0.29179,1.64981,0.58834,0.0006634,0.0006634,0.0006634
36,424.701,0.14745,0.22158,0.91241,0.9933,1,0.995,0.995,0.16872,0.40554,0.48072,0.0006535,0.0006535,0.0006535
37,439.082,0.14765,0.22391,0.92905,1,0.99738,0.995,0.995,0.15567,0.34433,0.46282,0.0006436,0.0006436,0.0006436
38,456.002,0.16162,0.22266,0.92642,1,0.98589,0.995,0.98633,0.18976,0.37854,0.48077,0.0006337,0.0006337,0.0006337
39,466.683,0.1565,0.21615,0.91888,0.99746,1,0.995,0.98356,0.24842,0.32883,0.53315,0.0006238,0.0006238,0.0006238
40,477.041,0.15085,0.22454,0.92803,0.96341,1,0.99177,0.99177,0.20328,0.27519,0.48022,0.0006139,0.0006139,0.0006139
41,487.488,0.15218,0.21775,0.92839,0.99823,1,0.995,0.995,0.18287,0.19659,0.48199,0.000604,0.000604,0.000604
42,498.791,0.13012,0.1848,0.89829,0.99781,1,0.995,0.98034,0.26595,0.26983,0.56949,0.0005941,0.0005941,0.0005941
43,508.981,0.12982,0.18894,0.90733,0.93727,0.99625,0.99125,0.98157,0.28172,0.34658,0.57338,0.0005842,0.0005842,0.0005842
44,519.472,0.12348,0.18755,0.91601,0.99757,1,0.995,0.995,0.20208,0.21902,0.51841,0.0005743,0.0005743,0.0005743
45,535.261,0.12553,0.18369,0.91399,0.99836,1,0.995,0.995,0.24544,0.20497,0.56386,0.0005644,0.0005644,0.0005644
46,546.127,0.13342,0.19273,0.91362,0.99303,1,0.995,0.995,0.24302,0.22345,0.54843,0.0005545,0.0005545,0.0005545
47,557.418,0.13072,0.19571,0.91806,0.98538,1,0.995,0.99248,0.19351,0.197,0.49622,0.0005446,0.0005446,0.0005446
48,567.899,0.12473,0.18568,0.91346,0.9864,1,0.995,0.995,0.19673,0.20993,0.50715,0.0005347,0.0005347,0.0005347
49,584.359,0.12646,0.19173,0.92013,0.99634,1,0.995,0.995,0.15507,0.17911,0.45547,0.0005248,0.0005248,0.0005248
50,600.766,0.12528,0.20084,0.9129,0.99828,1,0.995,0.98561,0.1681,0.19719,0.44946,0.0005149,0.0005149,0.0005149
51,611.304,0.12993,0.19723,0.92166,0.99672,1,0.995,0.97284,0.22258,0.377,0.49649,0.000505,0.000505,0.000505
52,627.915,0.11358,0.17691,0.91143,0.96956,1,0.995,0.98111,0.23102,0.30197,0.5172,0.0004951,0.0004951,0.0004951
53,638.505,0.12161,0.1944,0.91792,0.99751,1,0.995,0.995,0.17644,0.19707,0.47888,0.0004852,0.0004852,0.0004852
