epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5448,0.58685,1.5069,1.25734,0.39519,1,0.94736,0.66639,0.49568,3.22462,0.67305,0.08317,0.00017,0.00017
2,27.0615,0.27655,0.45307,1.00521,0.54091,0.89274,0.75878,0.3358,1.94715,5.87354,1.77676,0.0653465,0.000346535,0.000346535
3,37.2869,0.29085,0.41186,1.02876,0.51671,0.87879,0.70165,0.58857,1.11363,2.68935,1.44116,0.0475195,0.000519506,0.000519506
4,47.4182,0.4154,0.50536,1.08328,0.47505,0.9697,0.83153,0.58537,0.44651,2.37571,0.6262,0.0296889,0.000688913,0.000688913
5,57.5105,0.31487,0.44121,1.02603,0.63305,1,0.97148,0.63717,0.42723,1.94792,0.61667,0.0118548,0.000854756,0.000854756
6,67.5977,0.2837,0.37402,1.00943,0.36126,0.93939,0.35778,0.27145,0.61513,2.01565,0.89618,0.0009505,0.0009505,0.0009505
7,77.7521,0.3085,0.40834,1.04497,0.47511,0.90909,0.63469,0.38831,1.29335,3.73565,1.70823,0.0009406,0.0009406,0.0009406
8,88.0961,0.28872,0.40862,1.0142,0.02174,0.18182,0.00819,0.00452,3.61793,23.3745,4.14452,0.0009307,0.0009307,0.0009307
9,98.2281,0.31115,0.36864,1.01829,0.48175,0.27273,0.25043,0.17225,2.52035,4.04117,2.69812,0.0009208,0.0009208,0.0009208
10,108.778,0.32279,0.41746,1.05356,0.65885,0.93939,0.8723,0.57288,0.68588,1.40483,0.82897,0.0009109,0.0009109,0.0009109
11,119.055,0.27032,0.37238,0.9966,0.50895,0.9697,0.84516,0.53226,0.52883,2.1251,0.75261,0.000901,0.000901,0.000901
12,133.584,0.26095,0.33279,0.99549,0.44878,0.93755,0.648,0.55585,0.33401,1.60986,0.50398,0.0008911,0.0008911,0.0008911
13,144.125,0.24225,0.31994,0.97984,0.66527,0.9697,0.95109,0.89657,0.26189,1.22866,0.42648,0.0008812,0.0008812,0.0008812
14,154.912,0.21213,0.2864,0.94591,0.92756,1,0.99157,0.86182,0.28015,0.54291,0.45909,0.0008713,0.0008713,0.0008713
15,165.323,0.25647,0.30896,0.98061,0.8522,0.9697,0.96643,0.77803,0.79912,2.63195,0.98527,0.0008614,0.0008614,0.0008614
16,175.755,0.23324,0.29919,0.96731,0.73274,0.33333,0.34376,0.3062,1.48558,1.90423,1.42761,0.0008515,0.0008515,0.0008515
