epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9426,0.60436,1.51557,1.26258,0.31938,0.76667,0.38749,0.31208,0.54745,9.30864,0.97279,0.08416,0.00016,0.00016
2,22.5286,0.22608,0.3716,0.97931,1,0.96667,0.99312,0.8695,0.30149,1.08457,0.64667,0.0673267,0.000326733,0.000326733
3,32.8319,0.26883,0.42654,1.00757,0.56628,0.83333,0.62495,0.4606,0.52235,2.32891,0.84608,0.0504901,0.0004901,0.0004901
4,42.7209,0.27248,0.40833,1.00749,0.24639,0.76667,0.22691,0.14079,1.11476,11.2313,9.14059,0.0336501,0.000650101,0.000650101
5,53.0602,0.27925,0.40523,1.02371,0.62828,0.7,0.6112,0.39409,0.742,2.43723,1.07858,0.0168067,0.000806736,0.000806736
6,62.883,0.28334,0.37166,1.01989,0.17172,0.53333,0.12686,0.0824,1.40491,10.4783,1.82944,0.0009505,0.0009505,0.0009505
7,72.6218,0.26844,0.36181,1.0037,0.63785,0.63333,0.62986,0.46934,1.23187,3.61819,1.40595,0.0009406,0.0009406,0.0009406
8,82.6821,0.28955,0.37871,1.01004,0.56713,0.43686,0.40716,0.15551,2.53544,2.30223,3.58521,0.0009307,0.0009307,0.0009307
9,92.6645,0.24828,0.31547,0.99108,0.00335,0.03333,0.00055,0.00021,4.71205,43.8324,5.159,0.0009208,0.0009208,0.0009208
10,102.831,0.24127,0.32649,0.97674,0.55778,0.7,0.60011,0.22251,1.85803,3.21288,2.06245,0.0009109,0.0009109,0.0009109
11,113.187,0.26372,0.34641,0.98306,0.79779,0.6,0.64809,0.48493,1.44824,1.30049,1.60551,0.000901,0.000901,0.000901
12,123.667,0.22137,0.31321,0.97063,0.73052,0.7,0.75354,0.42341,1.1919,1.36093,1.4946,0.0008911,0.0008911,0.0008911
13,133.777,0.2401,0.3186,0.9643,0.6772,1,0.95558,0.80594,0.46735,1.63783,0.77343,0.0008812,0.0008812,0.0008812
14,143.841,0.21688,0.2871,0.96474,0.87262,1,0.99212,0.81886,0.47218,1.37576,0.85624,0.0008713,0.0008713,0.0008713
15,153.9,0.2204,0.29786,0.96766,0.50974,1,0.77572,0.65569,0.4302,1.81417,0.82774,0.0008614,0.0008614,0.0008614
16,163.811,0.21812,0.28079,0.96186,0.51318,1,0.87259,0.86192,0.23183,1.91234,0.55337,0.0008515,0.0008515,0.0008515
17,173.986,0.19411,0.26435,0.96147,0.7026,1,0.912,0.6932,0.3264,2.15511,0.66619,0.0008416,0.0008416,0.0008416
18,184.021,0.20002,0.26693,0.95804,0.81767,1,0.97333,0.90288,0.27817,1.26612,0.58857,0.0008317,0.0008317,0.0008317
19,194.317,0.19488,0.25337,0.93831,0.54942,0.96667,0.74418,0.7241,0.24998,1.25394,0.6472,0.0008218,0.0008218,0.0008218
20,204.413,0.19311,0.25363,0.9358,0.86989,1,0.995,0.94501,0.23088,1.20107,0.59572,0.0008119,0.0008119,0.0008119
21,214.524,0.19632,0.26473,0.9545,0.73206,0.93333,0.87265,0.73053,0.63819,0.70829,0.85129,0.000802,0.000802,0.000802
22,225.026,0.18842,0.26612,0.94448,0.58429,0.33333,0.23894,0.23147,1.81075,1.79925,1.87867,0.0007921,0.0007921,0.0007921
23,235.012,0.17933,0.23992,0.95124,0.68715,0.83333,0.6271,0.49398,0.68248,0.84641,0.91412,0.0007822,0.0007822,0.0007822
24,245.047,0.17741,0.25979,0.94996,0.9962,1,0.995,0.99142,0.17723,0.33252,0.52615,0.0007723,0.0007723,0.0007723
25,256.661,0.17957,0.25066,0.95073,0.9869,1,0.995,0.71363,0.69115,1.28018,0.84833,0.0007624,0.0007624,0.0007624
26,266.816,0.17478,0.23401,0.949,0.79302,0.93333,0.95179,0.6319,0.97749,1.32281,1.15761,0.0007525,0.0007525,0.0007525
27,276.899,0.17146,0.23345,0.93729,0.92524,0.96667,0.97281,0.77633,0.67071,0.74274,0.88137,0.0007426,0.0007426,0.0007426
28,287.056,0.17165,0.25787,0.93124,0.99801,1,0.995,0.995,0.20634,0.25572,0.56078,0.0007327,0.0007327,0.0007327
29,297.332,0.15433,0.21798,0.9308,0.99108,1,0.995,0.86323,0.30148,0.46998,0.63989,0.0007228,0.0007228,0.0007228
30,307.364,0.1636,0.25226,0.94186,0.94106,1,0.995,0.96896,0.16587,0.33505,0.54589,0.0007129,0.0007129,0.0007129
31,317.335,0.15435,0.25153,0.92343,0.96609,1,0.98984,0.96566,0.19756,0.87338,0.56695,0.000703,0.000703,0.000703
32,333.025,0.15546,0.22745,0.94498,0.99319,1,0.995,0.98327,0.16267,0.27663,0.52535,0.0006931,0.0006931,0.0006931
33,343.343,0.1573,0.24257,0.93945,0.99461,1,0.995,0.92287,0.15227,0.24743,0.50075,0.0006832,0.0006832,0.0006832
34,353.536,0.16037,0.24202,0.93985,0.98858,1,0.995,0.85843,0.3299,0.45776,0.60095,0.0006733,0.0006733,0.0006733
35,363.775,0.15504,0.2165,0.93015,0.99723,1,0.995,0.96963,0.1634,0.23834,0.52876,0.0006634,0.0006634,0.0006634
